,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_month,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,target
381,2,0,0,4,1,0,1,39,11,1,0,0,0,90.95,0,0
382,2,0,0,1,0,0,1,6,6,1,0,0,0,139.0,1,1
383,1,0,0,2,1,0,1,188,6,0,0,0,0,130.0,0,1
384,2,0,2,1,1,0,4,80,11,1,0,0,0,65.45,1,0
385,1,0,0,2,1,0,1,14,10,0,0,0,0,100.0,0,0
386,1,0,1,3,1,0,1,15,6,1,0,0,0,125.0,1,0
387,2,0,1,2,0,0,1,160,7,1,0,0,0,94.5,0,1
388,2,0,1,3,1,0,1,12,10,2,0,0,0,100.0,0,0
389,2,0,2,2,1,0,2,39,1,1,0,0,0,91.13,0,0
390,2,0,2,3,1,0,1,244,10,1,0,0,0,85.85,0,1
391,1,0,2,4,1,0,1,69,6,0,0,0,0,120.0,0,1
392,1,0,2,0,1,0,1,95,11,1,0,0,0,90.0,2,1
393,2,0,2,1,2,0,1,23,1,0,0,0,0,109.0,0,0
394,1,0,2,2,1,0,1,209,11,1,0,0,0,152.1,1,1
395,2,0,0,3,1,0,1,8,12,0,0,0,0,58.0,1,0
396,1,0,1,3,1,0,4,153,9,1,0,0,0,123.11,1,1
397,2,0,0,2,0,0,1,53,12,1,0,0,0,81.0,1,0
398,1,0,0,2,1,0,1,103,4,0,0,0,0,115.0,0,1
399,3,0,1,1,1,0,4,35,4,1,0,0,0,137.7,2,0
400,2,0,0,1,1,0,1,31,5,0,0,0,0,78.0,3,0
401,2,0,1,2,1,0,1,338,10,0,0,0,0,90.67,1,0
402,2,0,2,2,1,0,4,65,7,1,0,0,0,125.1,1,0
403,2,0,1,5,1,0,1,41,12,0,0,0,0,58.5,0,0
404,2,0,2,1,1,0,4,172,8,0,0,0,0,82.45,1,0
405,2,0,0,0,1,0,1,16,2,1,0,0,0,0.0,0,0
406,2,0,2,3,1,0,1,276,5,0,0,0,0,61.0,0,1
407,1,0,1,0,1,0,1,9,9,0,0,0,0,90.0,0,1
408,2,0,0,2,2,0,1,377,10,1,0,0,0,115.0,1,1
409,2,0,0,2,1,0,1,245,10,1,0,0,0,96.3,0,1
410,1,0,0,1,1,0,1,81,6,1,0,0,0,90.9,0,1
411,1,0,1,4,1,0,1,87,3,1,0,0,0,53.67,1,0
412,2,0,1,1,1,0,1,7,9,1,0,0,0,126.0,2,0
413,2,0,1,4,1,0,1,275,10,1,0,0,0,90.0,0,1
414,2,0,1,3,1,0,1,52,12,1,0,0,0,88.4,2,0
415,2,0,2,3,1,0,1,218,8,1,0,0,0,90.95,1,1
416,1,0,0,3,0,0,1,15,5,1,0,0,0,109.0,1,0
417,2,0,0,1,1,0,1,8,11,0,0,0,0,130.0,0,0
418,3,0,2,4,1,0,4,31,6,1,0,0,0,112.14,3,0
419,3,0,2,3,1,0,4,36,7,1,0,0,0,150.3,0,1
420,2,0,2,1,1,0,4,61,11,0,0,0,0,60.0,0,0
421,2,0,0,1,1,0,1,221,8,0,0,0,0,80.0,0,1
422,2,0,0,4,1,0,1,19,12,0,0,0,0,58.0,1,0
423,2,0,2,3,1,0,1,50,10,1,0,0,0,94.5,1,0
424,1,0,0,1,1,0,1,12,10,1,0,0,0,126.1,0,0
425,2,0,1,2,1,0,1,193,6,0,0,0,0,120.0,0,1
426,2,0,0,3,1,0,1,23,6,1,0,0,0,127.67,0,1
427,1,0,0,3,1,0,1,1,1,2,1,0,1,66.0,0,0
428,2,0,0,1,0,0,1,0,8,1,0,0,0,92.98,0,0
429,2,0,2,3,1,0,4,92,12,0,0,0,0,60.0,1,0
430,2,1,0,4,1,0,4,11,12,1,0,0,0,113.2,0,0
431,2,0,0,3,1,0,1,70,6,1,0,0,0,126.9,0,0
432,2,1,2,2,1,0,1,35,6,1,0,0,0,125.1,1,0
433,3,0,2,5,1,0,4,88,12,1,0,0,0,119.0,1,0
434,2,0,0,2,2,0,1,320,8,0,0,0,0,115.0,1,1
435,2,0,0,2,0,0,1,20,11,1,0,0,0,185.0,1,0
436,2,0,0,3,1,0,1,213,6,0,0,0,0,130.0,0,1
437,1,0,1,0,1,0,1,4,9,1,0,0,0,110.11,1,0
438,1,0,1,0,1,0,1,6,2,1,1,3,1,86.0,0,0
439,2,0,2,3,1,0,1,276,5,1,0,0,0,61.0,0,1
440,2,0,0,3,2,0,1,85,9,0,0,0,0,125.0,0,0
441,2,0,1,3,1,0,1,56,5,0,0,0,0,85.5,0,0
442,2,0,0,1,1,0,4,11,11,1,0,0,0,140.0,1,1
443,2,1,0,3,1,0,1,86,12,1,0,0,0,122.0,0,1
444,2,0,0,3,1,0,1,103,5,0,0,0,0,80.0,0,0
445,3,0,2,3,1,0,1,166,7,1,0,0,0,121.55,0,1
446,2,0,2,1,2,0,1,103,7,0,0,0,0,94.5,0,1
447,2,0,0,1,0,0,1,31,5,1,0,0,0,89.4,2,0
448,2,2,2,1,1,1,6,217,8,1,0,0,0,177.3,1,1
449,2,0,2,2,1,0,1,160,5,1,0,0,0,99.45,1,0
450,2,0,0,2,0,0,1,4,9,1,0,0,0,73.92,1,0
451,1,0,0,2,1,0,1,46,3,1,0,0,0,82.9,1,0
452,2,0,0,1,1,0,1,12,1,1,0,0,0,69.6,0,0
453,2,0,1,1,1,0,1,3,8,1,0,0,0,180.0,1,0
454,2,0,0,5,0,0,1,171,8,1,0,0,0,89.25,0,1
455,2,0,1,5,1,1,4,133,5,1,0,0,0,127.15,1,0
456,1,0,2,0,1,0,1,2,9,2,0,0,0,65.0,0,1
457,1,0,0,0,1,0,1,5,12,4,0,0,0,0.0,0,0
458,2,0,0,3,1,1,1,22,10,1,0,0,0,139.0,1,0
459,1,0,1,2,1,0,1,180,10,0,0,0,0,120.0,1,1
460,2,0,0,3,1,0,1,61,12,1,0,0,0,93.6,1,0
461,2,0,0,3,1,0,1,108,4,1,0,0,0,90.3,0,0
462,2,0,0,2,1,0,1,122,4,0,0,0,0,85.0,0,0
463,1,0,0,3,2,0,1,88,5,0,0,0,0,96.0,0,0
464,2,0,0,3,0,0,1,48,3,1,0,0,0,73.1,1,1
465,1,0,0,1,1,0,1,16,3,2,0,0,0,75.0,0,0
466,2,0,1,0,1,0,5,0,11,4,0,0,0,0.0,0,0
467,1,0,1,0,1,0,1,6,10,2,0,0,0,89.0,0,0
468,1,0,2,3,1,0,1,6,9,1,0,0,0,137.0,0,1
469,1,0,1,4,0,0,1,42,10,1,0,0,0,73.15,1,0
470,2,0,1,2,1,0,1,6,12,1,0,0,0,87.0,0,0
471,3,0,0,2,1,0,4,57,12,1,0,0,0,126.0,2,0
472,2,0,2,2,0,0,1,13,11,1,0,0,0,77.14,1,1
473,2,0,0,2,1,0,1,1,4,1,0,0,0,67.76,1,0
474,2,0,0,3,1,0,4,130,9,1,0,0,0,139.5,2,1
475,2,0,0,1,1,0,1,7,4,0,0,0,0,90.0,0,0
476,2,0,0,2,0,0,1,80,11,1,0,0,0,63.36,0,1
477,2,0,0,2,1,0,1,245,6,0,0,0,0,75.0,0,1
478,2,0,0,4,0,0,1,99,12,1,0,0,0,74.8,1,0
479,2,0,0,2,1,1,1,25,8,1,0,0,0,160.0,1,0
480,2,0,2,3,1,0,1,182,10,1,0,0,0,70.44,2,0
481,1,0,0,2,1,0,1,32,11,1,0,0,0,0.0,0,0
482,1,0,1,0,1,0,1,60,4,2,0,0,0,65.0,0,0
483,2,0,1,5,1,0,1,69,8,1,0,0,0,135.9,1,0
484,1,0,1,1,1,0,1,5,10,2,0,0,0,80.0,0,0
485,2,0,2,2,1,0,1,25,3,1,0,0,0,96.0,1,0
486,2,0,2,3,0,0,1,19,2,1,0,0,0,55.32,0,0
487,2,0,2,1,1,1,1,180,9,1,0,0,0,135.9,1,1
488,2,0,2,1,1,0,1,22,12,1,0,0,0,59.09,0,0
489,2,0,0,2,0,0,1,142,7,1,0,0,0,85.5,1,0
490,2,0,2,1,0,0,1,26,10,1,0,0,0,133.0,0,0
491,1,0,0,3,1,0,1,12,10,1,0,0,0,130.0,2,0
492,2,0,0,1,0,0,1,135,12,1,0,0,0,79.2,2,1
493,3,0,0,3,1,0,4,34,10,1,0,0,0,176.4,2,0
494,2,0,1,0,0,0,1,10,3,1,0,0,0,97.0,0,1
495,2,0,1,5,2,0,1,94,3,0,0,0,0,110.75,1,0
496,2,0,1,3,0,0,1,217,9,1,0,0,0,101.15,0,1
497,1,0,1,0,1,0,1,6,11,1,0,0,0,197.0,0,0
498,2,0,1,4,1,0,2,36,10,1,0,0,0,81.62,1,0
499,2,1,1,1,1,0,1,152,7,1,0,0,0,119.0,2,1
500,2,0,2,3,1,0,4,67,9,1,0,0,0,119.16,0,1
501,2,1,2,2,1,0,1,35,4,1,0,0,0,104.3,2,0
502,2,0,1,2,0,0,1,97,4,1,0,0,0,85.5,0,0
503,2,0,2,4,0,0,1,5,11,1,0,0,0,106.21,2,0
504,3,0,1,2,0,0,1,14,9,1,0,0,0,100.87,1,0
505,2,0,0,2,2,0,1,377,10,0,0,0,0,115.0,1,1
506,1,0,1,0,1,0,1,76,10,0,0,0,0,120.0,0,1
507,1,0,0,2,2,0,1,74,9,0,0,0,0,80.0,0,0
508,1,0,2,2,1,0,1,163,6,0,0,0,0,100.0,0,1
509,3,0,1,2,1,0,1,49,3,1,0,0,0,112.8,1,0
510,2,0,0,4,1,0,1,75,4,1,0,0,0,88.83,0,0
511,1,0,2,3,1,0,1,4,9,4,0,0,0,0.0,0,0
512,2,0,1,0,1,0,1,0,12,2,1,0,1,77.0,2,0
513,2,0,0,2,1,0,1,21,3,1,0,0,0,104.05,0,0
514,2,0,0,1,1,0,1,7,6,1,0,0,0,91.0,1,1
515,2,0,0,2,2,0,1,265,6,0,0,0,0,115.0,1,1
516,2,0,1,4,1,1,1,5,3,1,0,0,0,128.0,1,0
517,2,0,1,1,1,0,4,44,6,0,0,0,0,96.3,0,0
518,3,0,0,4,1,0,4,116,7,1,0,0,0,138.55,2,0
519,2,0,1,1,1,0,1,0,10,1,0,0,0,117.04,0,0
520,2,0,0,1,1,0,1,1,10,2,0,0,0,96.0,0,0
521,1,0,1,3,2,0,4,28,10,1,0,0,0,205.0,1,0
522,2,0,2,7,2,0,1,42,9,0,0,0,0,79.64,0,0
523,3,0,1,2,1,0,4,83,11,1,0,0,0,122.4,2,0
524,2,0,0,3,1,0,1,27,5,1,0,0,0,141.0,0,1
525,2,0,0,2,1,0,1,46,1,1,0,0,0,80.3,1,0
526,2,0,2,2,1,0,1,60,11,0,0,0,0,75.0,0,0
527,1,0,2,2,1,0,4,1,6,1,0,0,0,131.0,1,0
528,2,0,2,1,1,0,4,128,4,1,0,0,0,117.0,2,1
529,2,0,0,2,1,0,4,54,9,1,0,0,0,123.3,1,1
530,2,1,1,0,1,0,1,3,8,1,0,0,0,90.0,3,0
531,2,1,2,2,1,0,1,30,12,1,0,0,0,84.32,0,1
532,2,0,2,0,1,0,1,10,8,1,0,0,0,157.0,1,0
533,2,0,2,2,1,0,1,11,10,0,0,0,0,88.5,0,0
534,2,0,0,3,0,0,1,98,12,1,0,0,0,79.2,2,0
535,1,0,1,1,1,0,1,82,5,0,0,0,0,80.0,1,0
536,2,0,0,2,0,0,1,9,2,1,0,0,0,81.0,0,0
537,2,0,0,3,1,0,1,103,3,0,0,0,0,61.5,2,0
538,2,0,2,1,0,0,1,55,11,1,0,0,0,71.28,0,1
539,2,0,0,3,1,0,1,96,12,0,0,0,0,70.0,0,0
540,2,0,1,0,0,0,1,49,7,1,0,0,0,93.15,0,1
541,1,0,0,1,1,0,1,1,8,2,0,0,0,65.0,0,0
542,3,0,2,2,1,0,4,71,9,1,0,0,0,168.3,2,0
543,2,0,1,2,1,0,1,280,9,0,0,0,0,110.0,0,1
544,2,0,0,1,1,1,1,4,11,1,0,0,0,120.0,2,0
545,2,0,0,2,1,0,4,32,9,1,0,0,0,154.0,1,1
546,1,0,0,1,1,0,1,14,10,0,0,0,0,100.0,0,0
547,1,0,1,2,1,0,1,180,10,0,0,0,0,120.0,0,1
548,2,0,0,1,1,0,1,14,12,1,0,0,0,138.0,1,0
549,2,0,1,3,1,0,1,28,10,1,0,0,0,133.75,1,0
550,2,1,1,3,1,0,4,3,2,1,0,0,0,106.0,2,0
551,1,0,6,13,1,0,1,5,10,2,0,0,0,95.0,1,1
552,3,0,2,1,2,0,1,106,8,0,0,0,0,141.9,0,0
553,2,0,0,3,1,0,1,160,12,0,0,0,0,70.0,0,0
554,2,0,0,3,0,0,1,66,11,1,0,0,0,106.5,1,0
555,1,0,0,1,1,0,1,361,11,1,1,1,0,91.0,0,1
556,2,1,2,3,1,0,1,15,3,1,0,0,0,116.2,2,0
557,2,0,1,3,1,0,1,21,8,1,0,0,0,124.25,2,0
558,2,0,1,0,0,0,1,180,11,1,0,0,0,54.75,2,0
559,2,0,0,4,1,0,4,78,4,1,0,0,0,97.33,0,1
560,2,1,0,3,1,0,1,36,9,1,0,0,0,99.68,0,0
561,2,0,1,2,1,0,1,30,2,1,0,0,0,63.21,1,0
562,2,0,1,2,1,0,1,51,8,1,0,0,0,109.8,1,1
563,3,0,0,4,1,0,4,71,12,1,0,0,0,128.0,0,0
564,1,0,0,1,1,0,1,2,3,0,0,0,0,55.0,0,0
565,2,0,0,4,1,0,1,64,11,1,0,0,0,93.6,2,0
566,2,0,2,1,1,0,4,27,6,1,0,0,0,107.1,0,1
567,1,0,0,1,1,0,1,13,11,2,0,0,0,65.0,0,0
568,2,2,0,1,1,0,6,33,7,1,0,0,0,207.9,1,0
569,2,0,0,3,1,0,4,41,2,1,0,0,0,82.45,0,1
570,2,0,0,3,1,0,4,6,3,1,0,0,0,116.0,0,1
571,2,0,2,1,1,0,1,11,10,1,0,0,0,140.0,2,0
572,1,0,0,1,1,0,1,1,4,3,0,0,0,95.0,0,1
573,1,0,0,2,1,0,1,32,11,0,0,0,0,73.0,0,0
574,2,0,0,3,1,0,1,279,10,0,0,0,0,110.0,0,1
575,1,0,1,0,1,0,1,19,11,2,0,0,0,65.0,0,0
576,2,0,0,2,1,0,1,86,9,0,0,0,0,105.0,0,0
577,2,0,1,3,1,0,4,290,12,1,0,0,0,86.7,0,1
578,2,0,0,4,1,0,1,30,7,1,0,0,0,135.9,1,1
579,1,0,0,2,1,0,1,1,12,1,0,0,0,88.0,1,0
580,2,0,1,5,1,0,4,60,9,1,0,0,0,132.45,1,1
581,1,0,0,1,1,0,1,5,8,2,0,0,0,65.0,1,0
582,3,0,1,1,1,0,4,59,9,1,0,0,0,168.3,0,1
583,1,0,2,5,1,0,1,180,8,1,0,0,0,49.74,0,1
584,1,0,1,2,1,0,1,33,11,1,0,0,0,197.0,2,0
585,2,1,0,1,1,0,4,1,6,1,0,0,0,139.0,2,0
586,3,0,2,2,1,0,4,76,7,1,0,0,0,142.2,0,0
587,2,0,1,2,1,0,1,193,6,1,0,0,0,120.0,0,1
588,2,0,0,2,1,0,4,2,4,1,0,0,0,146.0,1,0
589,2,0,0,4,0,0,1,47,12,1,0,0,0,74.8,1,0
590,1,0,0,1,0,0,1,1,8,1,0,0,0,81.19,0,0
591,1,0,1,2,1,0,1,219,9,0,0,0,0,76.67,0,0
592,2,0,0,2,1,0,4,7,12,1,0,0,0,125.8,0,0
593,1,0,0,1,1,0,1,0,8,1,0,0,0,99.0,0,0
594,1,0,2,3,1,0,1,115,2,0,0,0,0,76.0,0,0
595,1,0,0,1,1,0,1,99,2,2,0,0,0,81.0,0,0
596,2,0,2,1,0,0,1,167,10,1,0,0,0,98.1,0,1
597,2,0,2,2,1,0,1,11,10,0,0,0,0,88.5,0,0
598,3,0,2,2,1,0,4,8,5,1,0,0,0,176.34,3,0
599,2,0,2,6,0,0,1,106,7,1,0,0,0,94.5,0,1
600,1,0,2,0,1,0,1,12,5,1,0,0,0,97.02,1,0
601,2,0,0,1,1,0,1,43,10,0,0,0,0,85.0,0,0
602,3,0,1,2,1,0,4,201,10,1,0,0,0,142.56,2,1
603,2,0,0,2,1,0,4,16,7,1,0,0,0,166.0,2,0
604,2,0,2,3,0,0,1,53,3,1,0,0,0,65.75,0,0
605,2,1,1,3,1,0,4,56,3,0,0,0,0,103.28,1,0
606,2,0,2,1,1,0,1,14,12,1,0,0,0,93.67,1,0
607,2,0,1,0,0,0,1,5,5,1,0,0,0,89.0,1,0
608,2,0,2,0,0,0,1,11,10,1,0,0,0,135.0,2,0
609,2,0,1,3,1,0,1,212,5,1,0,0,0,84.31,0,1
610,2,0,0,3,1,0,1,304,11,0,0,0,0,89.0,0,1
611,2,0,1,3,1,0,1,24,6,1,0,0,0,107.1,1,0
612,1,0,1,1,1,0,1,4,9,0,0,0,0,98.1,0,1
613,1,0,0,2,1,0,1,5,5,2,0,0,0,100.0,0,0
614,2,0,1,4,1,0,4,146,10,1,0,0,0,132.3,2,1
615,2,0,1,3,1,0,1,322,5,0,0,0,0,80.0,0,1
616,2,0,2,1,1,0,1,12,9,1,0,0,0,95.48,1,0
617,2,2,0,2,1,1,6,13,8,1,0,0,0,225.0,0,1
618,2,0,0,3,1,0,1,73,3,1,0,0,0,84.3,1,1
619,1,0,2,4,1,0,1,80,9,0,0,0,0,85.0,0,0
620,1,0,0,2,1,0,1,36,1,0,0,0,0,80.0,0,0
621,2,0,0,3,1,0,4,75,3,1,0,0,0,114.3,1,0
622,2,0,1,3,1,0,4,9,9,0,0,0,0,63.75,0,0
623,2,0,0,3,1,0,1,5,1,0,0,0,0,66.0,0,0
624,2,2,2,1,1,0,6,2,10,1,0,0,0,196.0,3,0
625,2,0,0,1,0,0,1,29,9,1,0,0,0,139.0,2,0
626,2,0,1,2,1,0,5,32,9,1,0,0,0,116.64,0,0
627,2,0,0,2,1,0,1,175,7,1,0,0,0,96.3,1,0
628,1,0,0,3,1,0,1,113,5,2,0,0,0,100.0,0,1
629,2,0,1,1,1,0,1,52,7,1,0,0,0,117.9,0,1
630,2,0,0,2,1,0,4,1,3,4,1,0,1,0.0,1,0
631,2,0,0,2,2,0,1,265,6,0,0,0,0,115.0,1,1
632,2,0,0,3,1,0,1,80,11,0,0,0,0,68.0,1,0
633,3,0,0,3,1,0,4,55,3,1,0,0,0,123.3,2,0
634,1,0,0,3,1,0,1,276,9,0,0,0,0,95.67,0,0
635,2,0,0,4,1,0,1,3,10,0,0,0,0,70.0,0,0
636,2,0,0,2,1,0,1,52,2,1,0,0,0,78.3,1,1
637,2,0,1,3,1,0,1,285,10,0,0,0,0,100.0,0,1
638,2,0,0,4,1,0,1,98,5,0,0,0,0,95.0,1,0
639,3,0,0,2,1,0,1,24,7,1,0,0,0,100.0,0,1
640,2,0,1,2,1,0,1,4,1,0,0,0,0,66.0,0,0
641,2,1,2,4,1,0,1,76,10,1,0,0,0,135.0,1,1
642,2,0,1,2,1,0,4,56,11,0,0,0,0,60.0,1,0
643,2,0,0,4,1,0,1,159,12,0,0,0,0,70.5,0,0
644,2,0,2,1,1,0,1,180,10,1,0,0,0,108.9,0,1
645,2,0,2,6,1,0,1,106,7,0,0,0,0,72.25,2,0
646,2,0,2,2,1,0,1,125,8,1,0,0,0,105.3,3,0
647,2,0,0,2,1,0,4,7,9,1,0,0,0,184.0,0,1
648,1,0,0,1,2,0,1,221,8,0,0,0,0,73.0,0,0
649,2,0,2,7,1,0,4,8,3,1,0,0,0,158.22,0,1
650,1,0,0,2,1,0,1,42,11,0,0,0,0,67.5,0,0
651,2,0,0,2,0,0,1,39,5,1,0,0,0,116.1,0,1
652,1,0,0,2,2,0,1,256,6,0,0,0,0,90.0,0,0
653,2,1,2,5,1,0,1,40,8,1,0,0,0,127.16,0,0
654,2,0,1,4,1,0,4,40,3,1,0,0,0,98.82,0,0
655,2,0,1,1,0,0,1,268,10,1,0,0,0,95.4,0,1
656,1,0,0,1,1,0,1,6,6,2,1,0,4,65.0,1,0
657,2,0,0,1,0,0,1,17,2,1,0,0,0,81.0,0,0
658,2,0,2,2,1,0,1,60,9,1,0,0,0,135.9,1,1
659,1,0,0,2,1,0,1,164,10,0,0,0,0,100.0,0,0
660,2,1,0,2,1,0,4,9,9,1,0,0,0,201.5,2,0
661,2,0,1,2,2,0,1,418,9,0,0,0,0,107.0,0,1
662,2,0,1,3,1,0,1,322,5,0,0,0,0,80.0,0,1
663,2,0,0,2,1,0,1,30,6,0,0,0,0,140.0,0,0
664,2,1,0,1,1,0,1,10,8,1,0,0,0,90.0,2,0
665,2,0,0,3,1,0,4,68,10,1,0,0,0,132.3,2,0
666,2,0,0,4,1,0,1,36,5,1,0,0,0,126.9,1,0
667,1,0,2,1,1,0,1,1,2,0,0,0,0,60.0,0,1
668,1,0,1,4,1,0,4,143,9,1,0,0,0,143.1,1,1
669,2,2,0,1,1,0,6,66,8,1,0,0,0,207.9,1,0
670,1,0,0,1,1,0,4,1,1,0,1,0,5,46.0,0,0
671,2,0,0,3,0,0,1,34,4,1,0,0,0,100.5,0,1
672,3,0,0,1,1,0,4,33,3,1,0,0,0,117.3,1,0
673,1,0,2,3,1,0,1,60,9,1,0,0,0,80.75,0,0
674,2,0,2,5,1,0,1,5,8,1,0,0,0,110.71,1,0
675,2,0,0,2,1,0,1,163,8,1,0,0,0,96.3,0,1
676,2,0,1,3,0,0,1,147,8,1,0,0,0,97.75,0,1
677,2,0,1,3,1,0,1,210,10,0,0,0,0,72.75,0,0
678,3,0,0,1,1,0,1,67,5,1,0,0,0,159.3,0,1
679,2,0,2,3,1,0,1,92,7,1,0,0,0,58.9,1,0
680,1,0,0,1,1,0,1,177,7,1,0,0,0,99.9,0,1
681,1,0,2,1,1,0,1,100,12,1,0,0,0,63.75,2,0
682,2,0,0,4,1,0,4,166,6,1,0,0,0,99.45,0,1
683,3,0,0,3,1,0,1,8,2,1,0,0,0,127.0,0,1
684,2,0,1,0,0,0,1,1,12,1,0,0,0,88.0,1,0
685,1,0,0,1,0,0,1,2,6,1,0,0,0,127.0,0,0
686,2,0,2,3,1,0,1,158,8,1,0,0,0,90.95,0,1
687,2,0,2,1,1,0,1,1,1,1,0,0,0,71.84,0,0
688,1,0,0,3,1,0,1,71,6,0,0,0,0,120.0,0,0
689,2,0,0,2,0,0,1,1,10,1,0,0,0,149.0,1,0
690,2,0,1,3,0,0,1,64,6,1,0,0,0,68.61,1,0
691,2,0,2,5,1,0,1,96,8,1,0,0,0,76.5,0,1
692,3,0,1,2,1,0,4,12,4,1,0,0,0,163.67,1,0
693,1,0,0,1,1,0,1,115,7,1,0,0,0,99.9,1,0
694,2,2,0,1,1,0,6,22,12,1,0,0,0,174.0,1,0
695,2,0,0,4,1,1,2,215,7,1,0,0,0,91.13,1,1
696,3,0,0,2,2,1,4,40,8,1,0,0,0,228.6,2,0
697,2,0,0,3,0,0,1,18,1,1,0,0,0,77.0,1,0
698,2,0,2,1,0,0,1,115,10,1,0,0,0,98.7,0,0
699,2,0,1,3,1,0,1,22,9,1,0,0,0,119.25,3,0
700,2,0,0,4,0,0,1,25,11,1,0,0,0,85.0,1,0
701,2,0,0,3,1,0,4,130,9,1,0,0,0,139.5,2,1
702,2,0,0,1,0,0,1,85,8,1,0,0,0,107.1,0,1
703,2,0,1,2,1,0,4,9,2,0,0,0,0,48.67,0,0
704,3,0,0,2,1,0,1,46,11,0,0,0,0,105.0,0,0
705,2,1,4,5,1,0,4,123,7,1,0,0,0,112.24,1,0
706,1,0,0,3,1,0,1,71,6,0,0,0,0,120.0,0,0
707,2,2,0,1,1,0,6,142,8,1,0,0,0,168.3,2,1
708,2,0,0,1,0,0,1,17,3,1,0,0,0,97.0,0,0
709,2,0,1,1,0,0,1,151,8,1,0,0,0,103.5,0,1
710,2,0,0,4,1,0,1,270,4,0,0,0,0,62.8,0,1
711,2,0,0,4,1,0,1,61,5,1,0,0,0,92.28,0,1
712,2,0,0,2,2,0,1,0,8,0,0,0,0,109.0,0,0
713,3,2,0,2,1,0,2,137,8,1,0,0,0,93.7,1,0
714,2,0,1,2,1,0,1,11,2,0,0,0,0,87.0,0,0
715,2,0,1,4,1,0,1,3,12,1,0,0,0,82.88,0,0
716,2,0,1,1,1,0,1,26,11,1,0,0,0,104.0,1,1
717,2,0,0,3,1,0,1,24,3,0,0,0,0,74.8,0,0
718,2,0,0,3,1,0,1,44,2,0,0,0,0,75.0,0,0
719,2,0,2,0,0,0,1,101,5,1,0,0,0,103.5,1,0
720,2,0,1,2,1,0,4,63,9,1,0,0,0,149.4,2,0
721,1,0,0,2,1,0,1,192,6,0,0,0,0,95.0,0,0
722,1,0,0,2,1,0,1,6,9,2,0,0,0,65.0,0,0
723,2,0,0,3,0,0,1,122,6,1,0,0,0,116.1,2,0
724,2,0,1,2,1,0,1,305,11,1,0,0,0,89.0,0,1
725,2,0,2,2,1,0,4,77,4,1,0,0,0,107.95,0,1
726,1,0,2,1,2,0,1,4,8,0,0,0,0,36.25,0,0
727,2,0,0,3,1,0,1,92,11,0,0,0,0,49.07,1,0
728,2,0,0,1,0,0,1,109,7,1,0,0,0,94.5,1,1
729,2,0,0,2,1,0,1,15,7,0,0,0,0,118.15,2,0
730,3,0,1,3,2,0,4,151,12,1,0,0,0,164.05,2,0
731,1,0,1,2,1,0,5,206,9,2,0,0,0,106.0,0,1
732,2,0,0,1,1,0,1,90,8,1,0,0,0,135.9,0,1
733,1,0,0,1,1,0,1,0,12,2,0,0,0,65.0,0,0
734,2,0,0,4,0,0,1,15,9,0,0,0,0,58.35,1,0
735,2,0,0,3,0,0,1,8,11,1,0,0,0,116.67,1,0
736,2,0,0,3,1,0,1,37,10,0,0,0,0,105.0,0,0
737,2,0,1,1,1,0,1,65,6,1,0,0,0,126.9,0,1
738,3,0,1,0,1,0,4,28,5,1,0,0,0,157.0,2,0
739,2,0,2,1,0,0,2,208,9,1,0,0,0,116.1,0,1
740,2,0,1,3,1,0,1,82,9,0,0,0,0,95.0,0,1
741,2,0,1,2,1,0,4,12,9,1,0,0,0,154.0,0,1
742,2,0,1,3,2,0,1,62,7,0,0,0,0,104.0,0,0
743,2,0,0,3,1,0,1,143,8,0,0,0,0,100.0,0,0
744,2,0,2,1,1,0,1,17,10,1,0,0,0,106.77,1,0
745,1,0,0,3,1,0,4,19,5,1,0,0,0,120.12,2,0
746,3,0,0,4,1,0,4,73,7,1,0,0,0,149.4,0,1
747,2,0,1,0,1,0,1,258,10,1,0,0,0,110.0,0,1
748,1,0,2,2,1,0,1,147,7,1,0,0,0,89.25,0,0
749,1,0,0,4,1,0,1,37,12,1,0,0,0,74.8,1,0
750,1,0,0,2,2,0,1,6,12,1,0,0,0,0.0,0,0
751,2,0,1,0,0,0,1,46,5,1,0,0,0,116.1,0,0
752,2,1,2,2,1,0,1,87,8,1,0,0,0,134.1,0,1
753,1,0,0,2,1,0,1,0,2,1,0,0,0,85.0,0,1
754,3,0,0,1,1,0,4,102,5,1,0,0,0,159.3,1,0
755,2,0,0,4,1,0,1,21,11,1,0,0,0,102.0,1,0
756,2,0,0,1,1,0,1,0,3,1,0,0,0,101.0,0,0
757,1,0,2,3,1,0,4,2,2,1,0,0,0,110.6,1,0
758,2,0,2,3,1,0,1,276,5,0,0,0,0,61.0,0,1
759,2,0,1,3,1,0,4,53,10,1,0,0,0,122.0,4,0
760,2,0,2,4,1,0,4,56,3,1,0,0,0,101.72,1,0
761,1,0,0,2,2,0,1,346,9,0,0,0,0,90.0,0,1
762,2,0,1,3,1,0,1,250,9,0,0,0,0,95.0,0,1
763,2,0,1,2,1,0,1,135,9,0,0,0,0,90.0,0,0
764,1,0,1,2,1,0,1,180,10,0,0,0,0,120.0,0,1
765,2,0,2,0,1,0,1,67,3,1,0,0,0,78.3,0,0
